year,month,branchNumber,underwritingYear,lossYear,claimsPaidGross,claimsPaidRi
2025,10,421,2025,2026,844,425
2025,11,421,2025,2025,2441,1229
2025,11,421,2025,2026,1046,527
2025,12,421,2025,2025,2437,1227
2025,12,421,2025,2026,1045,526
2025,1,425,2025,2025,12194,9308
2025,1,425,2025,2026,5226,3989
2025,2,425,2025,2025,11205,8553
2025,2,425,2025,2026,4802,3665
2025,3,425,2025,2025,10356,7905
2025,3,425,2025,2026,4438,3388
2025,4,425,2025,2025,8883,6780
2025,4,425,2025,2026,3807,2906
2025,5,425,2025,2025,10134,7735
2025,5,425,2025,2026,4343,3315
2025,6,425,2025,2025,9453,7215
2025,6,425,2025,2026,4051,3092
2025,7,425,2025,2025,8792,6711
2025,7,425,2025,2026,3768,2876
2025,8,425,2025,2025,8531,6512
2025,8,425,2025,2026,3656,2791
2025,9,425,2025,2025,10586,8080
2025,9,425,2025,2026,4537,3463
2025,10,425,2025,2025,10631,8115
2025,10,425,2025,2026,4556,3478
2025,11,425,2025,2025,10625,8110
2025,11,425,2025,2026,4553,3475
2025,12,425,2025,2025,10567,8066
2025,12,425,2025,2026,4529,3457
2025,1,430,2025,2025,20049,2117
2025,1,430,2025,2026,8592,907
2025,2,430,2025,2025,18433,1947
2025,2,430,2025,2026,7900,834
2025,3,430,2025,2025,17047,1800
2025,3,430,2025,2026,7306,772
2025,4,430,2025,2025,14633,1545
2025,4,430,2025,2026,6271,662
2025,5,430,2025,2025,16660,1759
2025,5,430,2025,2026,7140,754
2025,6,430,2025,2025,15548,1642
2025,6,430,2025,2026,6664,704
2025,7,430,2025,2025,14470,1528
2025,7,430,2025,2026,6202,655
2025,8,430,2025,2025,14050,1484
2025,8,430,2025,2026,6021,636
2025,9,430,2025,2025,17401,1838
2025,9,430,2025,2026,7458,788
2025,10,430,2025,2025,17484,1846
2025,10,430,2025,2026,7493,791
2025,11,430,2025,2025,17484,1846
2025,11,430,2025,2026,7493,791
2025,12,430,2025,2025,17401,1838
2025,12,430,2025,2026,7458,788
