year,month,branchNumber,underwritingYear,lossYear,claimsPaidGross,claimsPaidRi,,,
2026,1,210,2025,2025,529400,59800,,52940000,5980000
2026,1,210,2025,2026,291800,33000,,29180000,3300000
2026,1,210,2024,2024,128500,14800,,12850000,1480000
2026,2,210,2026,2026,1473900,167400,,147390000,16740000
2026,2,210,2025,2025,601000,68700,,60100000,6870000
2026,2,210,2025,2026,217000,24900,,21700000,2490000
2026,2,210,2024,2024,142200,15800,,14220000,1580000
2026,3,210,2026,2026,1392700,148700,,139270000,14870000
2026,3,210,2025,2025,483100,52200,,48310000,5220000
2026,3,210,2025,2026,265200,29200,,26520000,2920000
2026,3,210,2024,2024,130100,14900,,13010000,1490000
2026,4,210,2026,2026,1320000,151600,,132000000,15160000
2026,4,210,2025,2025,442400,51600,,44240000,5160000
2026,4,210,2025,2026,237200,27000,,23720000,2700000
2026,4,210,2024,2024,142400,15200,,14240000,1520000
2026,5,210,2026,2026,1924900,210100,,192490000,21010000
2026,5,210,2025,2025,438400,50700,,43840000,5070000
2026,5,210,2025,2026,255700,29900,,25570000,2990000
2026,5,210,2024,2024,114600,12400,,11460000,1240000
2026,6,210,2026,2026,1816000,199900,,181600000,19990000
2026,6,210,2025,2025,410900,47500,,41090000,4750000
2026,6,210,2025,2026,270600,29900,,27060000,2990000
2026,6,210,2024,2024,129700,14300,,12970000,1430000
2026,7,210,2026,2026,1965400,230300,,196540000,23030000
2026,7,210,2025,2025,531500,61700,,53150000,6170000
2026,7,210,2025,2026,223300,25600,,22330000,2560000
2026,8,210,2026,2026,1902700,211100,,190270000,21110000
2026,8,210,2025,2025,531900,58500,,53190000,5850000
2026,8,210,2025,2026,222400,23800,,22240000,2380000
2026,9,210,2026,2026,1557400,182600,,155740000,18260000
2026,9,210,2025,2025,483900,55000,,48390000,5500000
2026,9,210,2025,2026,256600,29600,,25660000,2960000
2026,10,210,2026,2026,1202000,131100,,120200000,13110000
2026,10,210,2025,2026,301700,34400,,30170000,3440000
2026,11,210,2026,2026,1571700,184300,,157170000,18430000
2026,11,210,2025,2026,268900,30100,,26890000,3010000
2026,12,210,2026,2026,1866300,217100,,186630000,21710000
2026,12,210,2025,2026,281300,32600,,28130000,3260000
2026,1,221,2026,2026,382700,108100,,38270000,10810000
2026,1,221,2025,2025,151600,44000,,15160000,4400000
2026,1,221,2025,2026,71300,19800,,7130000,1980000
2026,1,221,2024,2024,27600,7700,,2760000,770000
2026,2,221,2026,2026,396500,110100,,39650000,11010000
2026,2,221,2025,2025,131100,35500,,13110000,3550000
2026,2,221,2025,2026,51200,13600,,5120000,1360000
2026,2,221,2024,2024,32200,9000,,3220000,900000
2026,3,221,2026,2026,449400,126700,,44940000,12670000
2026,3,221,2025,2025,100900,28200,,10090000,2820000
2026,3,221,2025,2026,53900,15100,,5390000,1510000
2026,3,221,2024,2024,30700,8300,,3070000,830000
2026,4,221,2026,2026,508000,135300,,50800000,13530000
2026,4,221,2025,2025,155800,43100,,15580000,4310000
2026,4,221,2025,2026,59100,16100,,5910000,1610000
2026,4,221,2024,2024,30800,8700,,3080000,870000
2026,5,221,2026,2026,513400,147700,,51340000,14770000
2026,5,221,2025,2025,131500,36900,,13150000,3690000
2026,5,221,2025,2026,64800,18700,,6480000,1870000
2026,5,221,2024,2024,25900,7500,,2590000,750000
2026,6,221,2026,2026,440100,128000,,44010000,12800000
2026,6,221,2025,2025,159900,44400,,15990000,4440000
2026,6,221,2025,2026,65500,18400,,6550000,1840000
2026,6,221,2024,2024,40200,10900,,4020000,1090000
2026,7,221,2026,2026,434500,124800,,43450000,12480000
2026,7,221,2025,2025,160400,44700,,16040000,4470000
2026,7,221,2025,2026,79100,22800,,7910000,2280000
2026,8,221,2026,2026,381500,106100,,38150000,10610000
2026,8,221,2025,2025,133300,38300,,13330000,3830000
2026,8,221,2025,2026,69000,19800,,6900000,1980000
2026,9,221,2026,2026,523800,151800,,52380000,15180000
2026,9,221,2025,2025,111400,32100,,11140000,3210000
2026,9,221,2025,2026,60800,17100,,6080000,1710000
2026,10,221,2026,2026,344400,98500,,34440000,9850000
2026,10,221,2025,2026,55900,14900,,5590000,1490000
2026,11,221,2026,2026,506000,136700,,50600000,13670000
2026,11,221,2025,2026,74600,19700,,7460000,1970000
2026,12,221,2026,2026,483700,140100,,48370000,14010000
2026,12,221,2025,2026,62000,17300,,6200000,1730000
2026,1,225,2026,2026,1834000,554800,,183400000,55480000
2026,1,225,2025,2025,618200,189700,,61820000,18970000
2026,1,225,2025,2026,245600,76900,,24560000,7690000
2026,1,225,2024,2024,111600,32800,,11160000,3280000
2026,2,225,2026,2026,1365600,417000,,136560000,41700000
2026,2,225,2025,2025,612400,181400,,61240000,18140000
2026,2,225,2025,2026,272900,86500,,27290000,8650000
2026,2,225,2024,2024,144400,45800,,14440000,4580000
2026,3,225,2026,2026,1541100,482300,,154110000,48230000
2026,3,225,2025,2025,399600,117600,,39960000,11760000
2026,3,225,2025,2026,257500,75000,,25750000,7500000
2026,3,225,2024,2024,137600,41300,,13760000,4130000
2026,4,225,2026,2026,1990700,589500,,199070000,58950000
2026,4,225,2025,2025,526800,153600,,52680000,15360000
2026,4,225,2025,2026,205400,64000,,20540000,6400000
2026,4,225,2024,2024,138200,41700,,13820000,4170000
2026,5,225,2026,2026,1669600,494500,,166960000,49450000
2026,5,225,2025,2025,377800,119600,,37780000,11960000
2026,5,225,2025,2026,284400,89400,,28440000,8940000
2026,5,225,2024,2024,153000,46600,,15300000,4660000
2026,6,225,2026,2026,1980600,635100,,198060000,63510000
2026,6,225,2025,2025,607900,179500,,60790000,17950000
2026,6,225,2025,2026,272000,79300,,27200000,7930000
2026,6,225,2024,2024,150100,47600,,15010000,4760000
2026,7,225,2026,2026,1406400,430000,,140640000,43000000
2026,7,225,2025,2025,603600,181100,,60360000,18110000
2026,7,225,2025,2026,210800,63200,,21080000,6320000
2026,8,225,2026,2026,1271200,380200,,127120000,38020000
2026,8,225,2025,2025,536400,171200,,53640000,17120000
2026,8,225,2025,2026,224400,69700,,22440000,6970000
2026,9,225,2026,2026,1868500,546700,,186850000,54670000
2026,9,225,2025,2025,504700,155200,,50470000,15520000
2026,9,225,2025,2026,261300,81100,,26130000,8110000
2026,10,225,2026,2026,1273200,391900,,127320000,39190000
2026,10,225,2025,2026,188600,57200,,18860000,5720000
2026,11,225,2026,2026,1344700,418700,,134470000,41870000
2026,11,225,2025,2026,235300,70200,,23530000,7020000
2026,12,225,2026,2026,1606900,486000,,160690000,48600000
2026,12,225,2025,2026,195500,58400,,19550000,5840000
2026,1,400,2026,2026,1909900,515200,,190990000,51520000
2026,1,400,2025,2025,475100,123700,,47510000,12370000
2026,1,400,2025,2026,252900,67900,,25290000,6790000
2026,1,400,2024,2024,126300,34600,,12630000,3460000
2026,2,400,2026,2026,1934800,516800,,193480000,51680000
2026,2,400,2025,2025,523700,148400,,52370000,14840000
2026,2,400,2025,2026,279500,72800,,27950000,7280000
2026,2,400,2024,2024,159800,44500,,15980000,4450000
2026,3,400,2026,2026,1968000,548100,,196800000,54810000
2026,3,400,2025,2025,588800,151600,,58880000,15160000
2026,3,400,2025,2026,299700,80300,,29970000,8030000
2026,3,400,2024,2024,106200,29400,,10620000,2940000
2026,4,400,2026,2026,1508900,414300,,150890000,41430000
2026,4,400,2025,2025,627700,166800,,62770000,16680000
2026,4,400,2025,2026,205100,57900,,20510000,5790000
2026,4,400,2024,2024,131700,36200,,13170000,3620000
2026,5,400,2026,2026,1706400,477000,,170640000,47700000
2026,5,400,2025,2025,603700,170400,,60370000,17040000
2026,5,400,2025,2026,248600,65900,,24860000,6590000
2026,5,400,2024,2024,143400,40200,,14340000,4020000
2026,6,400,2026,2026,1944600,506900,,194460000,50690000
2026,6,400,2025,2025,521100,144200,,52110000,14420000
2026,6,400,2025,2026,303800,81800,,30380000,8180000
2026,6,400,2024,2024,150900,41300,,15090000,4130000
2026,7,400,2026,2026,1506300,425400,,150630000,42540000
2026,7,400,2025,2025,611600,157800,,61160000,15780000
2026,7,400,2025,2026,257000,72100,,25700000,7210000
2026,8,400,2026,2026,2070400,541400,,207040000,54140000
2026,8,400,2025,2025,575400,154400,,57540000,15440000
2026,8,400,2025,2026,271400,72200,,27140000,7220000
2026,9,400,2026,2026,2176300,571100,,217630000,57110000
2026,9,400,2025,2025,593900,157300,,59390000,15730000
2026,9,400,2025,2026,244700,64500,,24470000,6450000
2026,10,400,2026,2026,1523900,406600,,152390000,40660000
2026,10,400,2025,2026,229000,61800,,22900000,6180000
2026,11,400,2026,2026,1874700,504100,,187470000,50410000
2026,11,400,2025,2026,297300,83900,,29730000,8390000
2026,12,400,2026,2026,2184000,593100,,218400000,59310000
2026,12,400,2025,2026,337700,94100,,33770000,9410000
2026,1,410,2026,2026,1613600,1446500,,161360000,144650000
2026,1,410,2025,2025,585500,504600,,58550000,50460000
2026,1,410,2025,2026,229300,205100,,22930000,20510000
2026,1,410,2024,2024,151500,133300,,15150000,13330000
2026,2,410,2026,2026,1964900,1642200,,196490000,164220000
2026,2,410,2025,2025,684800,610600,,68480000,61060000
2026,2,410,2025,2026,285800,245600,,28580000,24560000
2026,2,410,2024,2024,172600,149100,,17260000,14910000
2026,3,410,2026,2026,2212300,1933800,,221230000,193380000
2026,3,410,2025,2025,737700,614300,,73770000,61430000
2026,3,410,2025,2026,319000,272000,,31900000,27200000
2026,3,410,2024,2024,178600,155600,,17860000,15560000
2026,4,410,2026,2026,2013800,1805300,,201380000,180530000
2026,4,410,2025,2025,556200,497300,,55620000,49730000
2026,4,410,2025,2026,230500,194200,,23050000,19420000
2026,4,410,2024,2024,152900,134200,,15290000,13420000
2026,5,410,2026,2026,1467500,1313600,,146750000,131360000
2026,5,410,2025,2025,477500,414000,,47750000,41400000
2026,5,410,2025,2026,354300,302700,,35430000,30270000
2026,5,410,2024,2024,170800,147100,,17080000,14710000
2026,6,410,2026,2026,1553500,1347900,,155350000,134790000
2026,6,410,2025,2025,708900,604200,,70890000,60420000
2026,6,410,2025,2026,347400,317500,,34740000,31750000
2026,6,410,2024,2024,171700,142500,,17170000,14250000
2026,7,410,2026,2026,1823100,1632100,,182310000,163210000
2026,7,410,2025,2025,507300,422300,,50730000,42230000
2026,7,410,2025,2026,305200,277500,,30520000,27750000
2026,8,410,2026,2026,2226600,1883400,,222660000,188340000
2026,8,410,2025,2025,597800,532400,,59780000,53240000
2026,8,410,2025,2026,341000,282800,,34100000,28280000
2026,9,410,2026,2026,1844600,1674000,,184460000,167400000
2026,9,410,2025,2025,475700,420500,,47570000,42050000
2026,9,410,2025,2026,269100,245500,,26910000,24550000
2026,10,410,2026,2026,2039000,1712800,,203900000,171280000
2026,10,410,2025,2026,303200,274700,,30320000,27470000
2026,11,410,2026,2026,2237500,2003800,,223750000,200380000
2026,11,410,2025,2026,323400,282500,,32340000,28250000
2026,12,410,2026,2026,2071300,1818100,,207130000,181810000
2026,12,410,2025,2026,316500,263700,,31650000,26370000
2026,1,420,2026,2026,1353500,1388100,,135350000,138810000
2026,1,420,2025,2025,336300,327200,,33630000,32720000
2026,1,420,2025,2026,241100,249600,,24110000,24960000
2026,1,420,2024,2024,104300,104800,,10430000,10480000
2026,2,420,2026,2026,1401200,1389300,,140120000,138930000
2026,2,420,2025,2025,456500,472300,,45650000,47230000
2026,2,420,2025,2026,230500,235400,,23050000,23540000
2026,2,420,2024,2024,109000,110600,,10900000,11060000
2026,3,420,2026,2026,1016300,986700,,101630000,98670000
2026,3,420,2025,2025,428500,430100,,42850000,43010000
2026,3,420,2025,2026,213600,209200,,21360000,20920000
2026,3,420,2024,2024,86500,86000,,8650000,8600000
2026,4,420,2026,2026,1277200,1311100,,127720000,131110000
2026,4,420,2025,2025,413800,407900,,41380000,40790000
2026,4,420,2025,2026,180800,186600,,18080000,18660000
2026,4,420,2024,2024,78000,74200,,7800000,7420000
2026,5,420,2026,2026,1115000,1138500,,111500000,113850000
2026,5,420,2025,2025,311800,322800,,31180000,32280000
2026,5,420,2025,2026,233600,222400,,23360000,22240000
2026,5,420,2024,2024,86100,88900,,8610000,8890000
2026,6,420,2026,2026,1671500,1639700,,167150000,163970000
2026,6,420,2025,2025,390000,403000,,39000000,40300000
2026,6,420,2025,2026,256400,250100,,25640000,25010000
2026,6,420,2024,2024,119800,119000,,11980000,11900000
2026,7,420,2026,2026,1146800,1089900,,114680000,108990000
2026,7,420,2025,2025,497700,473400,,49770000,47340000
2026,7,420,2025,2026,179700,173600,,17970000,17360000
2026,8,420,2026,2026,1182100,1168400,,118210000,116840000
2026,8,420,2025,2025,495000,485000,,49500000,48500000
2026,8,420,2025,2026,181200,180700,,18120000,18070000
2026,9,420,2026,2026,1222500,1254200,,122250000,125420000
2026,9,420,2025,2025,471000,485300,,47100000,48530000
2026,9,420,2025,2026,213100,222400,,21310000,22240000
2026,10,420,2026,2026,1064300,1100200,,106430000,110020000
2026,10,420,2025,2026,233100,232200,,23310000,23220000
2026,11,420,2026,2026,1304300,1325600,,130430000,132560000
2026,11,420,2025,2026,255200,246300,,25520000,24630000
2026,12,420,2026,2026,1534700,1456900,,153470000,145690000
2026,12,420,2025,2026,231400,228100,,23140000,22810000
2026,1,421,2026,2026,2160000,101800,,216000000,10180000
2026,1,421,2025,2025,696900,32300,,69690000,3230000
2026,1,421,2025,2026,263900,13300,,26390000,1330000
2026,1,421,2024,2024,158000,7800,,15800000,780000
2026,2,421,2026,2026,1786100,89400,,178610000,8940000
2026,2,421,2025,2025,650200,30300,,65020000,3030000
2026,2,421,2025,2026,234300,11200,,23430000,1120000
2026,2,421,2024,2024,112700,5500,,11270000,550000
2026,3,421,2026,2026,2208800,107000,,220880000,10700000
2026,3,421,2025,2025,473800,23700,,47380000,2370000
2026,3,421,2025,2026,296100,14100,,29610000,1410000
2026,3,421,2024,2024,171400,8700,,17140000,870000
2026,4,421,2026,2026,2170800,109600,,217080000,10960000
2026,4,421,2025,2025,692700,32300,,69270000,3230000
2026,4,421,2025,2026,243900,11400,,24390000,1140000
2026,4,421,2024,2024,137500,6800,,13750000,680000
2026,5,421,2026,2026,1614000,80200,,161400000,8020000
2026,5,421,2025,2025,498500,23200,,49850000,2320000
2026,5,421,2025,2026,229100,10900,,22910000,1090000
2026,5,421,2024,2024,146100,7000,,14610000,700000
2026,6,421,2026,2026,1641900,78900,,164190000,7890000
2026,6,421,2025,2025,521400,25000,,52140000,2500000
2026,6,421,2025,2026,289000,13600,,28900000,1360000
2026,6,421,2024,2024,117400,5800,,11740000,580000
2026,7,421,2026,2026,1811200,87500,,181120000,8750000
2026,7,421,2025,2025,573900,26600,,57390000,2660000
2026,7,421,2025,2026,256200,12100,,25620000,1210000
2026,8,421,2026,2026,2054100,99700,,205410000,9970000
2026,8,421,2025,2025,496100,23800,,49610000,2380000
2026,8,421,2025,2026,273300,12700,,27330000,1270000
2026,9,421,2026,2026,2102800,106600,,210280000,10660000
2026,9,421,2025,2025,506100,25600,,50610000,2560000
2026,9,421,2025,2026,211600,10400,,21160000,1040000
2026,10,421,2026,2026,1966800,97300,,196680000,9730000
2026,10,421,2025,2026,214800,10600,,21480000,1060000
2026,11,421,2026,2026,2166200,108700,,216620000,10870000
2026,11,421,2025,2026,262200,13000,,26220000,1300000
2026,12,421,2026,2026,2062400,97400,,206240000,9740000
2026,12,421,2025,2026,325300,15200,,32530000,1520000
2026,1,425,2026,2026,441500,378600,,44150000,37860000
2026,1,425,2025,2025,150300,139900,,15030000,13990000
2026,1,425,2025,2026,51400,48100,,5140000,4810000
2026,1,425,2024,2024,26000,22700,,2600000,2270000
2026,2,425,2026,2026,433100,404000,,43310000,40400000
2026,2,425,2025,2025,150100,138300,,15010000,13830000
2026,2,425,2025,2026,64000,57800,,6400000,5780000
2026,2,425,2024,2024,31700,28500,,3170000,2850000
2026,3,425,2026,2026,412100,373100,,41210000,37310000
2026,3,425,2025,2025,163600,143200,,16360000,14320000
2026,3,425,2025,2026,69400,62800,,6940000,6280000
2026,3,425,2024,2024,39800,36900,,3980000,3690000
2026,4,425,2026,2026,372500,327400,,37250000,32740000
2026,4,425,2025,2025,155500,144500,,15550000,14450000
2026,4,425,2025,2026,81900,71000,,8190000,7100000
2026,4,425,2024,2024,36000,31800,,3600000,3180000
2026,5,425,2026,2026,461700,417500,,46170000,41750000
2026,5,425,2025,2025,151700,143000,,15170000,14300000
2026,5,425,2025,2026,51400,46200,,5140000,4620000
2026,5,425,2024,2024,33200,29600,,3320000,2960000
2026,6,425,2026,2026,389500,362200,,38950000,36220000
2026,6,425,2025,2025,126700,108900,,12670000,10890000
2026,6,425,2025,2026,49700,44900,,4970000,4490000
2026,6,425,2024,2024,37600,32800,,3760000,3280000
2026,7,425,2026,2026,388600,348000,,38860000,34800000
2026,7,425,2025,2025,136500,128400,,13650000,12840000
2026,7,425,2025,2026,71900,63700,,7190000,6370000
2026,8,425,2026,2026,407600,373700,,40760000,37370000
2026,8,425,2025,2025,124000,109700,,12400000,10970000
2026,8,425,2025,2026,64400,57100,,6440000,5710000
2026,9,425,2026,2026,342400,316200,,34240000,31620000
2026,9,425,2025,2025,137700,122600,,13770000,12260000
2026,9,425,2025,2026,63900,60400,,6390000,6040000
2026,10,425,2026,2026,427900,367100,,42790000,36710000
2026,10,425,2025,2026,80200,69400,,8020000,6940000
2026,11,425,2026,2026,381900,330100,,38190000,33010000
2026,11,425,2025,2026,62200,54600,,6220000,5460000
2026,12,425,2026,2026,479500,422500,,47950000,42250000
2026,12,425,2025,2026,58700,52800,,5870000,5280000
2026,1,430,2026,2026,24800,12800,,2480000,1280000
2026,1,430,2025,2025,7800,4000,,780000,400000
2026,1,430,2025,2026,3400,1700,,340000,170000
2026,1,430,2024,2024,1600,800,,160000,80000
2026,2,430,2026,2026,22200,11000,,2220000,1100000
2026,2,430,2025,2025,8100,4200,,810000,420000
2026,2,430,2025,2026,3900,1900,,390000,190000
2026,2,430,2024,2024,1500,700,,150000,70000
2026,3,430,2026,2026,26000,12900,,2600000,1290000
2026,3,430,2025,2025,8000,4000,,800000,400000
2026,3,430,2025,2026,3000,1400,,300000,140000
2026,3,430,2024,2024,1400,700,,140000,70000
2026,4,430,2026,2026,24200,12600,,2420000,1260000
2026,4,430,2025,2025,5700,2700,,570000,270000
2026,4,430,2025,2026,3700,1900,,370000,190000
2026,4,430,2024,2024,1500,800,,150000,80000
2026,5,430,2026,2026,20900,10500,,2090000,1050000
2026,5,430,2025,2025,6600,3300,,660000,330000
2026,5,430,2025,2026,3300,1700,,330000,170000
2026,5,430,2024,2024,1500,800,,150000,80000
2026,6,430,2026,2026,26200,13700,,2620000,1370000
2026,6,430,2025,2025,7700,4000,,770000,400000
2026,6,430,2025,2026,3500,1800,,350000,180000
2026,6,430,2024,2024,1400,700,,140000,70000
2026,7,430,2026,2026,23200,11600,,2320000,1160000
2026,7,430,2025,2025,5000,2500,,500000,250000
2026,7,430,2025,2026,3700,1900,,370000,190000
2026,8,430,2026,2026,26600,13600,,2660000,1360000
2026,8,430,2025,2025,6800,3600,,680000,360000
2026,8,430,2025,2026,3700,1800,,370000,180000
2026,9,430,2026,2026,21800,11300,,2180000,1130000
2026,9,430,2025,2025,6600,3300,,660000,330000
2026,9,430,2025,2026,2900,1500,,290000,150000
2026,10,430,2026,2026,17300,9100,,1730000,910000
2026,10,430,2025,2026,3100,1500,,310000,150000
2026,11,430,2026,2026,26000,13600,,2600000,1360000
2026,11,430,2025,2026,2600,1300,,260000,130000
2026,12,430,2026,2026,19500,10200,,1950000,1020000
2026,12,430,2025,2026,4100,2200,,410000,220000
