year,month,branchNumber,underwritingYear,lossYear,outstandingClaimsGross,outstandingClaimsRi,ibnrGross,ibnrRi,actuarialEstimateGross,actuarialEstimateRi
2026,12,150,2024,2024,295104,23472,196736,15648,491840,39120
2026,3,200,2026,2026,1983840,251088,1322560,167392,3306400,418480
2026,6,200,2026,2026,3626928,461328,2417952,307552,6044880,768880
2026,9,200,2026,2026,5394624,698304,3596416,465536,8991040,1163840
2026,12,200,2026,2026,7349904,948000,4899936,632000,12249840,1580000
2026,3,200,2025,2025,552096,70560,368064,47040,920160,117600
2026,6,200,2025,2025,1115280,146112,743520,97408,1858800,243520
2026,9,200,2025,2025,1805856,237360,1203904,158240,3009760,395600
2026,12,200,2025,2025,1805856,237360,1203904,158240,3009760,395600
2026,3,200,2025,2026,333504,43776,222336,29184,555840,72960
2026,6,200,2025,2026,584016,75792,389344,50528,973360,126320
2026,9,200,2025,2026,836352,108816,557568,72544,1393920,181360
2026,12,200,2025,2026,1107120,142992,738080,95328,1845200,238320
2026,3,200,2024,2024,147408,19392,98272,12928,245680,32320
2026,6,200,2024,2024,270576,35808,180384,23872,450960,59680
2026,9,200,2024,2024,270576,35808,180384,23872,450960,59680
2026,12,200,2024,2024,270576,35808,180384,23872,450960,59680
2026,3,210,2026,2026,2066640,229728,1377760,153152,3444400,382880
2026,6,210,2026,2026,4495872,499296,2997248,332864,7493120,832160
2026,9,210,2026,2026,7100112,798816,4733408,532544,11833520,1331360
2026,12,210,2026,2026,9327312,1054416,6218208,702944,15545520,1757360
2026,3,210,2025,2025,774480,86736,516320,57824,1290800,144560
2026,6,210,2025,2025,1394496,158640,929664,105760,2324160,264400
2026,9,210,2025,2025,2137200,242736,1424800,161824,3562000,404560
2026,12,210,2025,2025,2137200,242736,1424800,161824,3562000,404560
2026,3,210,2025,2026,371520,41808,247680,27872,619200,69680
2026,6,210,2025,2026,738000,83472,492000,55648,1230000,139120
2026,9,210,2025,2026,1075104,121392,716736,80928,1791840,202320
2026,12,210,2025,2026,1484016,168000,989344,112000,2473360,280000
2026,3,210,2024,2024,192384,21840,128256,14560,320640,36400
2026,6,210,2024,2024,378000,41952,252000,27968,630000,69920
2026,9,210,2024,2024,378000,41952,252000,27968,630000,69920
2026,12,210,2024,2024,378000,41952,252000,27968,630000,69920
2026,3,221,2026,2026,589728,165552,393152,110368,982880,275920
2026,6,221,2026,2026,1291248,362832,860832,241888,2152080,604720
2026,9,221,2026,2026,1934352,546528,1289568,364352,3223920,910880
2026,12,221,2026,2026,2574720,726672,1716480,484448,4291200,1211120
2026,3,221,2025,2025,184128,51696,122752,34464,306880,86160
2026,6,221,2025,2025,398784,111408,265856,74272,664640,185680
2026,9,221,2025,2025,593232,166656,395488,111104,988720,277760
2026,12,221,2025,2025,593232,166656,395488,111104,988720,277760
2026,3,221,2025,2026,84672,23280,56448,15520,141120,38800
2026,6,221,2025,2026,175584,48816,117056,32544,292640,81360
2026,9,221,2025,2026,275856,77472,183904,51648,459760,129120
2026,12,221,2025,2026,368256,102384,245504,68256,613760,170640
2026,3,221,2024,2024,43440,12000,28960,8000,72400,20000
2026,6,221,2024,2024,89952,25008,59968,16672,149920,41680
2026,9,221,2024,2024,89952,25008,59968,16672,149920,41680
2026,12,221,2024,2024,89952,25008,59968,16672,149920,41680
2026,3,225,2026,2026,2275536,697968,1517024,465312,3792560,1163280
2026,6,225,2026,2026,4983168,1523136,3322112,1015424,8305280,2538560
2026,9,225,2026,2026,7165296,2174448,4776864,1449632,11942160,3624080
2026,12,225,2026,2026,9193200,2796816,6128800,1864544,15322000,4661360
2026,3,225,2025,2025,782496,234576,521664,156384,1304160,390960
2026,6,225,2025,2025,1508496,451872,1005664,301248,2514160,753120
2026,9,225,2025,2025,2297952,695472,1531968,463648,3829920,1159120
2026,12,225,2025,2025,2297952,695472,1531968,463648,3829920,1159120
2026,3,225,2025,2026,372480,114432,248320,76288,620800,190720
2026,6,225,2025,2026,738144,226128,492096,150752,1230240,376880
2026,9,225,2025,2026,1072464,328848,714976,219232,1787440,548080
2026,12,225,2025,2026,1369776,418032,913184,278688,2282960,696720
2026,3,225,2024,2024,188928,57552,125952,38368,314880,95920
2026,6,225,2024,2024,400752,122784,267168,81856,667920,204640
2026,9,225,2024,2024,400752,122784,267168,81856,667920,204640
2026,12,225,2024,2024,400752,122784,267168,81856,667920,204640
2026,3,400,2026,2026,2790096,758448,1860064,505632,4650160,1264080
2026,6,400,2026,2026,5266848,1429584,3511232,953056,8778080,2382640
2026,9,400,2026,2026,8028288,2167776,5352192,1445184,13380480,3612960
2026,12,400,2026,2026,10707936,2889600,7138624,1926400,17846560,4816000
2026,3,400,2025,2025,762048,203376,508032,135584,1270080,338960
2026,6,400,2025,2025,1603248,434448,1068832,289632,2672080,724080
2026,9,400,2025,2025,2458080,659808,1638720,439872,4096800,1099680
2026,12,400,2025,2025,2458080,659808,1638720,439872,4096800,1099680
2026,3,400,2025,2026,399408,106080,266272,70720,665680,176800
2026,6,400,2025,2026,763008,204768,508672,136512,1271680,341280
2026,9,400,2025,2026,1134096,304992,756064,203328,1890160,508320
2026,12,400,2025,2026,1548816,420096,1032544,280064,2581360,700160
2026,3,400,2024,2024,188304,52080,125536,34720,313840,86800
2026,6,400,2024,2024,392784,108576,261856,72384,654640,180960
2026,9,400,2024,2024,392784,108576,261856,72384,654640,180960
2026,12,400,2024,2024,392784,108576,261856,72384,654640,180960
2026,3,410,2026,2026,2779584,2410800,1853056,1607200,4632640,4018000
2026,6,410,2026,2026,5196288,4554864,3464192,3036576,8660480,7591440
2026,9,410,2026,2026,8025552,7045824,5350368,4697216,13375920,11743040
2026,12,410,2026,2026,11072496,9702480,7381664,6468320,18454160,16170800
2026,3,410,2025,2025,963840,830160,642560,553440,1606400,1383600
2026,6,410,2025,2025,1800288,1557600,1200192,1038400,3000480,2596000
2026,9,410,2025,2025,2559072,2217696,1706048,1478464,4265120,3696160
2026,12,410,2025,2025,2559072,2217696,1706048,1478464,4265120,3696160
2026,3,410,2025,2026,400368,346896,266912,231264,667280,578160
2026,6,410,2025,2026,847824,737808,565216,491872,1413040,1229680
2026,9,410,2025,2026,1287168,1124592,858112,749728,2145280,1874320
2026,12,410,2025,2026,1739856,1518624,1159904,1012416,2899760,2531040
2026,3,410,2024,2024,241296,210240,160864,140160,402160,350400
2026,6,410,2024,2024,479088,413664,319392,275776,798480,689440
2026,9,410,2024,2024,479088,413664,319392,275776,798480,689440
2026,12,410,2024,2024,479088,413664,319392,275776,798480,689440
2026,3,420,2026,2026,1810080,1806768,1206720,1204512,3016800,3011280
2026,6,420,2026,2026,3760656,3769632,2507104,2513088,6267760,6282720
2026,9,420,2026,2026,5465328,5455632,3643552,3637088,9108880,9092720
2026,12,420,2026,2026,7338912,7319328,4892608,4879552,12231520,12198880
2026,3,420,2025,2025,586224,590208,390816,393472,977040,983680
2026,6,420,2025,2025,1121712,1134384,747808,756256,1869520,1890640
2026,9,420,2025,2025,1824288,1827360,1216192,1218240,3040480,3045600
2026,12,420,2025,2025,1824288,1827360,1216192,1218240,3040480,3045600
2026,3,420,2025,2026,328896,333216,219264,222144,548160,555360
2026,6,420,2025,2026,650880,649584,433920,433056,1084800,1082640
2026,9,420,2025,2026,926400,926400,617600,617600,1544000,1544000
2026,12,420,2025,2026,1271856,1265568,847904,843712,2119760,2109280
2026,3,420,2024,2024,143904,144672,95936,96448,239840,241120
2026,6,420,2024,2024,280176,280080,186784,186720,466960,466800
2026,9,420,2024,2024,280176,280080,186784,186720,466960,466800
2026,12,420,2024,2024,280176,280080,186784,186720,466960,466800
2026,3,421,2026,2026,2954352,143136,1969568,95424,4923920,238560
2026,6,421,2026,2026,5559168,272112,3706112,181408,9265280,453520
2026,9,421,2026,2026,8423856,413136,5615904,275424,14039760,688560
2026,12,421,2026,2026,11397648,558768,7598432,372512,18996080,931280
2026,3,421,2025,2025,874032,41424,582688,27616,1456720,69040
2026,6,421,2025,2025,1696080,80064,1130720,53376,2826800,133440
2026,9,421,2025,2025,2452608,116544,1635072,77696,4087680,194240
2026,12,421,2025,2025,2452608,116544,1635072,77696,4087680,194240
2026,3,421,2025,2026,381264,18528,254176,12352,635440,30880
2026,6,421,2025,2026,747024,35760,498016,23840,1245040,59600
2026,9,421,2025,2026,1102752,52656,735168,35104,1837920,87760
2026,12,421,2025,2026,1487856,71280,991904,47520,2479760,118800
2026,3,421,2024,2024,212208,10560,141472,7040,353680,17600
2026,6,421,2024,2024,404688,19968,269792,13312,674480,33280
2026,9,421,2024,2024,404688,19968,269792,13312,674480,33280
2026,12,421,2024,2024,404688,19968,269792,13312,674480,33280
2026,3,425,2026,2026,617616,554736,411744,369824,1029360,924560
2026,6,425,2026,2026,1204992,1086144,803328,724096,2008320,1810240
2026,9,425,2026,2026,1751520,1584336,1167680,1056224,2919200,2640560
2026,12,425,2026,2026,2370384,2121792,1580256,1414528,3950640,3536320
2026,3,425,2025,2025,222720,202272,148480,134848,371200,337120
2026,6,425,2025,2025,430992,392544,287328,261696,718320,654240
2026,9,425,2025,2025,622128,565680,414752,377120,1036880,942800
2026,12,425,2025,2025,622128,565680,414752,377120,1036880,942800
2026,3,425,2025,2026,88704,80976,59136,53984,147840,134960
2026,6,425,2025,2026,176544,158784,117696,105856,294240,264640
2026,9,425,2025,2026,272640,245760,181760,163840,454400,409600
2026,12,425,2025,2026,369168,330624,246112,220416,615280,551040
2026,3,425,2024,2024,46800,42288,31200,28192,78000,70480
2026,6,425,2024,2024,98064,87504,65376,58336,163440,145840
2026,9,425,2024,2024,98064,87504,65376,58336,163440,145840
2026,12,425,2024,2024,98064,87504,65376,58336,163440,145840
2026,3,430,2026,2026,35040,17616,23360,11744,58400,29360
2026,6,430,2026,2026,69264,35280,46176,23520,115440,58800
2026,9,430,2026,2026,103632,52800,69088,35200,172720,88000
2026,12,430,2026,2026,133776,68592,89184,45728,222960,114320
2026,3,430,2025,2025,11472,5856,7648,3904,19120,9760
2026,6,430,2025,2025,21072,10656,14048,7104,35120,17760
2026,9,430,2025,2025,29904,15168,19936,10112,49840,25280
2026,12,430,2025,2025,29904,15168,19936,10112,49840,25280
2026,3,430,2025,2026,4944,2400,3296,1600,8240,4000
2026,6,430,2025,2026,9984,4992,6656,3328,16640,8320
2026,9,430,2025,2026,14928,7488,9952,4992,24880,12480
2026,12,430,2025,2026,19632,9888,13088,6592,32720,16480
2026,3,430,2024,2024,2160,1056,1440,704,3600,1760
2026,6,430,2024,2024,4272,2160,2848,1440,7120,3600
2026,9,430,2024,2024,4272,2160,2848,1440,7120,3600
2026,12,430,2024,2024,4272,2160,2848,1440,7120,3600
